temp_morning,temp_evening,humidity,ph,water_flow,fertilizer,production_speed,quality
22.5,24.1,70,6.5,30,100,120,7.8
23.1,25.0,65,6.8,28,110,115,8.2
21.8,23.5,68,6.4,32,105,118,7.5
24.0,25.2,72,6.7,29,120,125,8.4
22.2,24.0,66,6.6,31,115,122,7.9
23.5,25.5,69,6.9,27,108,117,8.1
21.5,23.0,64,6.3,30,100,115,7.3
22.8,24.3,71,6.5,33,112,120,8.0
23.2,25.1,67,6.8,28,110,118,8.2
21.9,23.6,65,6.4,31,105,116,7.6
24.1,25.4,70,6.7,30,120,123,8.5
22.3,24.2,68,6.6,29,115,121,7.9
23.6,25.6,69,6.9,32,110,119,8.3
21.7,23.3,63,6.3,27,102,114,7.2
22.9,24.5,70,6.5,30,118,122,8.0
23.3,25.0,66,6.8,29,110,117,8.1
21.6,23.2,64,6.4,28,105,115,7.4
24.0,25.3,71,6.7,31,120,124,8.4
22.1,23.9,67,6.6,30,112,121,7.8
23.4,25.2,68,6.9,29,115,119,8.2
